,title,sale_price,currency,condition,buying_format,date_sold,image_url,shipping_price,link,item_id
0,Apple iPhone X 64GB (Unlocked) A1865 Silver Smartphone,84.95,$,Apple iPhone X,Buy It Now,"Jun 8, 2026",https://i.ebayimg.com/images/g/8gsAAeSwCKtqImjH/s-l500.webp,0.0,https://www.ebay.com/itm/147352659891?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=240455169&itmmeta=01KTPA61EKHDNWT7EY7KNPR6NQ&hash=item224ee727b3%3Ag%3A8gsAAeSwCKtqImjH&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xAGvfd%2FKiBvNCIW5uxi39UhjcZAjaLdjBDdYXkHr5am2x0WojXyWQX%2BCvBZskeoneaIGJuSOWzs%2BT6DsQKcfdBO%2BaSYwqgvivz%2BsHrYO359dA%2F2f05zcvQ%2BNxvQG7kmzXLhGNzQ6pCTE2xwk2RX76I267ybKKUAtJIjYxMRHSJKodkpG4ZvOAMpGwOGTUdoUV8%2FpZmFJIk8jGglAGAD75%2Fns7F2PCxvrPTW8pFKaHG4lcz3eGQwEZjVTeDWYaRtrNxqVX4jOujLCtieujGlEaBonoPaIj8XEeAbgZ4uIe4GW6vvzpoQH70O%2Fhc%2BocJ3ooy63QdjBSQAdLWEjeBeKdbj%7Ctkp%3ABk9SR8qXmMrVZw&LH_ItemCondition=3000,147352659891
1,Apple iPhone X - 64GB - Silverish White Untested,110.6,$,Apple iPhone X,Buy It Now,"Jun 8, 2026",https://i.ebayimg.com/images/g/qWkAAeSwQHtpw9bD/s-l140.webp,0.0,https://www.ebay.com/itm/178068331498?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=240455169&itmmeta=01KTPA61EKJ7XV1ZTJH2PJNW98&hash=item2975b31bea%3Ag%3AqWkAAeSwQHtpw9bD&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCmOA%2BzjxC7ukXN20%2F0Z%2FgTc8M4e9dejVVO2JvLSnQhLD4CtMR2BNLKVoT16ddSBetFz%2F96%2BBleD7KqoTJe%2FlOb8GsWQWXTRS9Q0TLVLMNZx4RODgvRbizILMWQB03sX3gF4XuAcfXu4yCZiWFhQ6bV9vmmaRg8fHOV8Cw6TT%2BkXqaZNhCaD3Sfe%2BPw%2BjuE7UdvJPz30EyNb0EkBkNt8x8XK2y96P%2F3vYxdUQeFd1ZDp6NaA2FvDNbHA2NymBBPuf%2FYyXGsTloKmUQo%2BYbCtz32XUTI1HztMU13kHkw86G%2FOg%3D%3D%7Ctkp%3ABk9SR8qXmMrVZw&LH_ItemCondition=3000,178068331498
2,Apple iPhone X 64GB Space Gray (Unlocked) *473* G,75.99,$,Apple iPhone X,Buy It Now,"Jun 8, 2026",https://i.ebayimg.com/images/g/yKUAAeSweFVp610B/s-l140.webp,5.0,https://www.ebay.com/itm/198411150280?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61EKEX9P79GPBM49NH0M&hash=item2e3239e3c8%3Ag%3AyKUAAeSweFVp610B&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDoHQqj%2BewRHiuLEscnC2MlRsT%2BrGVU6%2FbGYcWtxJTbjJaeIIGAM97U69vuoMVUoY2p1LsBGokDjJXVpnC1KmsBFtkw1uE95zPTjnB%2BzdF6i9FQad0fD1CSmQQChBNsk4EJd3mVoFAQDeKYXULsV1d8QDv%2ByeQKJR0h1QpOC1P8WV7hdFIJB4%2BJRQuRvaCb5dfAYrF12nEnM5E57E%2BUfTMoUWpJNlDTIrtoXnGbP2aPWifOEQ9hysSbdNXWWIL81s7V0jS34nGVO3OQGS7pZ0GNEkdiv0QbiZj5G6b0WkDNQQ%3D%3D%7Ctkp%3ABk9SR8qXmMrVZw&LH_ItemCondition=3000,198411150280
3,Apple iPhone X - 64 GB - Black- (Unlocked),55.0,$,Apple iPhone X,Auction,"Jun 7, 2026",https://i.ebayimg.com/images/g/kCQAAeSwOHBqGhC4/s-l140.webp,0.0,https://www.ebay.com/itm/267691024757?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61EKMBN3S4XH5PYGNVJT&hash=item3e53a0e175%3Ag%3AkCQAAeSwOHBqGhC4&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAwH9uBJe2okXKE9in2pje%2BH3UgjLD25ZmPr1bDB7UCDiz2bZ75DdIeXTi4kGpP6dD%2Bq3N6m0WLmOumWDiRlwoxdTDvjS7SayKuqT7VXY8riDNWk%2F7rXqHpjrVLC6xwRbcs3uZo8APxmw5dN%2BO2BJWzf4IQlxiS%2BIYtMqyyS%2Fgv%2FpDib1BvbInvpB8bGlcvbFX%2FOr0VYh8664e4vkxObi%2B3UH48mirI3y2vRcZAFrC37IJyBOPU8Kjn3MtQXnSn%2B4gvXplZiJKx4cJHIRORO5hHjdc8X3QUcF410HDuX3zuqw%3D%3D%7Ctkp%3ABk9SR8qXmMrVZw&LH_ItemCondition=3000,267691024757
4,Apple iPhone X Silver 64GB MQCL2LL/A Factory Unlocked 85% Battery Health,86.0,$,Apple iPhone X,Auction,"Jun 6, 2026",https://i.ebayimg.com/images/g/qQQAAeSwFLlqHixY/s-l140.webp,0.0,https://www.ebay.com/itm/800108759166?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=240455169&itmmeta=01KTPA61EKDNM6CM1TSGS1WKBR&hash=itemba4a32c87e%3Ag%3AqQQAAeSwFLlqHixY&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xA1NdBgQc1Zt2l2bumw1bspKsH6r4CQXcJpdTuVkzr2d6H46W5rYmepkq40Gl0vnZhfQt%2F0aCjw7%2B%2FQHs%2BsffXEh3k2a7EA4v%2BvIgB9nzRkBqNSlUiEupnqi9S4pfHvSX2Y75DLY4ljWx1Z%2B4LYIWYz2putshnKCZcCAxNrTmvb1zVFJc0Cj72Pnto6j%2FPd8lf8uLN8HlOxgdIGrKfxP08PDokWGqPtMaEkdslerF0%2FgZ72nd%2BC599g8HuzhbuzzyIQCGkL7gKBUYoulCt5IE98JktjpU%2BxN%2BjU%2Fo%2BerPa%2BZg%3D%3D%7Ctkp%3ABk9SR8qXmMrVZw&LH_ItemCondition=3000,800108759166
5,Apple iPhone X - 64 GB - Black,95.97,$,Apple iPhone X,Accepts Offers,"Jun 6, 2026",https://i.ebayimg.com/images/g/2S8AAeSw4ABqFcC0/s-l140.webp,6.57,https://www.ebay.com/itm/287354811533?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&itmmeta=01KTPA61EKQJZ8J8R3M89C86VT&hash=item42e7ae748d%3Ag%3A2S8AAeSw4ABqFcC0&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCnu4jzVOJ2g2EmcQdonN5znRcMkaTZTJxldWx4JlvpW7H7nGgdNZ6pao7aHJ%2F1jnRdgZyLI9UQA7D60Di1aTT5gMiygHZO05eYHVPWLBtQeeCrMkeK0ZJqZb%2F%2BtbWhd1kZw%2FvZT8aOFnT0Yv68kVT6N2JEmUxOJ24STkdBcY0SprvQ%2BgJzCGs%2Bdn%2FazdwlmBv6AV%2BIHkShqtomnz6Lb06uYdda6M2fllCqu8Y2FomsSfw5GWt%2BCRlG7lEOSS7OfKhayRNmjN9tmdxA7TRlj9awtOEtT8A0ixkRcywc00KaDg%3D%3D%7Ctkp%3ABk9SR8qXmMrVZw&LH_ItemCondition=3000,287354811533
6,Apple iPhone X 64GB A1865 Space Gray (Unlocked) - Good,99.95,$,Apple iPhone X,Buy It Now,"Jun 6, 2026",https://i.ebayimg.com/images/g/8QcAAeSwI7FqImhu/s-l140.webp,0.0,https://www.ebay.com/itm/147352654746?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61EK54PSEK3E5X7KMH73&hash=item224ee7139a%3Ag%3A8QcAAeSwI7FqImhu&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDVza9%2B6vJ4UlpeROpwzPShGN5SfJe7%2F5g1a2wRU%2BtMuR7wbrHwQGvlY63gF8kHHyhPXJr5Hzzx%2F8Mwazi%2FKcmVStWCMbJRRa3pqNRBKQJrvSa19gp6eDVqpKuK5lfpTrBXWyGvhh9pEuxK9nTCQ166dbYeKshp2zM0i06F4WV%2Bff4bK6pIQcCZWbpC%2F0Q1jFlJXrBPqngkYGZziUeZyDhprBR5Ep1h1cAYZoAmdA7K0ShvGkiyvuT8SB52mMFD47UaS4wyH3Gn7zZXvyHlAzJ8viWc4QiCEzMqWetIExbbbQ%3D%3D%7Ctkp%3ABk9SR8yXmMrVZw&LH_ItemCondition=3000,147352654746
7,Apple iPhone X 64GB Unlocked Space Gray (FULLY FUNCTIONAL),89.99,$,Apple iPhone X,Buy It Now,"Jun 5, 2026",https://i.ebayimg.com/images/g/VLIAAeSwJy5qC-jV/s-l140.webp,6.24,https://www.ebay.com/itm/358571321435?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61EK6GJ2M7HW7Y1HTSZB&hash=item537c84285b%3Ag%3AVLIAAeSwJy5qC-jV&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xCeFKct2%2Fmq%2FBvSpWI8G01MpYIxjZEmsi4miyNutApJa78H%2BwWJW32UzHAoOTc3XEOD4gJnfo3VOfWRqQ47x38GB8GARGHvj9sytLXVf0suCqjFjR5jKFUpxrQfp%2BXk4U1CniEkULPgklasH3V9cYDySJsm3z3LW5Z28WWuay1PAaCGvuG9bQrz%2BglZylpiv7P%2FUKAHkGpLNGr9oeyth1SRFVpDBbgESbzlqE%2Bc5I4LpO1VatRjNo1LqcIMVbcDI1QKgmUyraPdatgXGLxPjkkVYnOsxUGNQQAEuqH3gADDLoWz7kO%2B%2FFRt8OkQdo7OR5yV7a9Un5avKRlEk0kz97tc%7Ctkp%3ABk9SR8yXmMrVZw&LH_ItemCondition=3000,358571321435
8,Apple iPhone X 64GB (Unlocked) A1865 Silver - Good,94.95,$,Apple iPhone X,Buy It Now,"Nov 7, 2025",https://i.ebayimg.com/images/g/VIoAAeSwoS1pCqN9/s-l140.webp,0.0,https://www.ebay.com/itm/146941309738?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=240455169&itmmeta=01KTPA61EKWM5YW9DW1DW63CH6&hash=item223662732a%3Ag%3AVIoAAeSwoS1pCqN9&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xBC9UTm8xykoDDnsBVwaNynLTOEzE04hCEsxZp6rqqg87v7MequClHPJKz9l1c4BHm%2ByXiCGPL2QmIAaqk%2BuwHJV2l0%2BfsZB2M1LSw02pGqBI668MDTWppEYrDmnpLAazVnCBRgnP5xbzPrN%2BuKCMr9AZAZUYF%2FVw8c8hiGjTK%2Fq5Ma7Fi4KnimCtBfsuqOzrPzBwuMg1NdJquV5LP3c76NCEpFcVWvSCdgwfxbw3LBdSjwx7YiEwnS5PssiD1WCAVyn8BRFyUKA0s5Qj4PKBp507VNf72CCjFVyqsP7fPrGkNCZXzgyw52RSGq8LgwOcACM0505dv6eyN2latZIAo4%7Ctkp%3ABk9SR8yXmMrVZw&LH_ItemCondition=3000,146941309738
9,Apple iPhone X 64GB Black Unlocked iOS Smartphone 6.5in 12MP Camera,75.0,$,Apple iPhone X,Accepts Offers,"Jun 4, 2026",https://i.ebayimg.com/images/g/FS0AAeSwIRpqIeJ3/s-l140.webp,7.22,https://www.ebay.com/itm/227373180040?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61EKEM924Q8QDTB97BEY&hash=item34f07f6488%3Ag%3AFS0AAeSwIRpqIeJ3&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xCZnjbjMb76DkUbUvh2pyDYqeo802Z%2FynHIRgO84a8FtgLXGF79VpwbEkbZSWvoMfQq98EhSnyYzrh7HRgxE9LOuokzNC%2FD%2F72dr%2B0h%2Bf8PRsXxpCEwB3jVOyAS3Io%2BB%2FVBdD3Kz93PrrgYjrqxR0XsZRqGP0h7CWE%2FsOs76QuYgvXVVQd7Ac8wOztI7ERJcljZ9krhMEqlujC4OroLigCH2cRZYezI8sPIucmpKSccXzJtiP1j%2FdifwKxUp9DzidAXxV9mukCUjbDtG8JpolTLFUIHQLkvpUdnHHnlclZRkqQrwcILa387iYhTaN2XHSSpqwH6xOrN4X8M8%2F40z4NJ%7Ctkp%3ABk9SR8yXmMrVZw&LH_ItemCondition=3000,227373180040
10,Apple iPhone X 64GB Space Gray Unlocked Smartphone iOS Used MQAQ2LL/A,60.0,$,Apple iPhone X,Accepts Offers,"Jun 4, 2026",https://i.ebayimg.com/images/g/6CMAAeSwZGVqIXnq/s-l140.webp,10.29,https://www.ebay.com/itm/306982428593?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61EKMNE57XCYT0PES6CZ&hash=item4779941fb1%3Ag%3A6CMAAeSwZGVqIXnq&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xC8Wm2iQK5wTcPInYjhSkWP99pJb3%2F4XB67xs%2Fa9gjyJdupl2ajjV2uDLlO2B%2BhYUnh6aQd8aUWo2h%2BDsMZz2ixIe2rge0msnvzX4kVm%2B2ImVC464aZCw2DtEA5QI%2Bu75y%2BHRr0sxUsbCkCDfcjXuiw%2BxZzquAXN5ziZy7AWE8VmWCX5C1QvJBSi1FJ5RWbHOT7loo5PDo2px4c7JfRnuszLHbMXoFwYvFqu42wD%2BCxbrMwCM7MlWLt22LloNf6m80AGMi27Ri0JTQ9TKrghw%2B2VN7dQbizryd0vJuj8M1P6%2FAxNfCzZmIOSh9PP6QUg3QQhKx6nhF9h8Qo5LwjRUXB%7Ctkp%3ABk9SR8yXmMrVZw&LH_ItemCondition=3000,306982428593
